DATE,TYPE,OUTAMOUNT,OUTCURRENCY,FEEAMOUNT,FEECURRENCY,OUTTXID,OUTTXURL,INAMOUNT,INCURRENCY,INTXID,INTXURL,ORDERID,PERSONALNOTE
Sat Nov 11 2017 21:43:26 GMT-0600 (Central Standard Time),deposit,,,,,,,12,ETH,0x0b012bf30ed53655bd5d1fb31aedcc77449c95c7c37dc1c154059c93bc836f80,https://etherscan.io/tx/0x0b012bf30ed53655bd5d1fb31aedcc77449c95c7c37dc1c154059c93bc836f80,,
Sat Nov 11 2017 21:48:27 GMT-0600 (Central Standard Time),deposit,,,,,,,1.25206501,BCH,672d4e8109f1fa80d6744268c8653294b0c3de84cb73fd2ce503a0a5fcc3e8a5,https://blockchair.com/bitcoin-cash/transaction/672d4e8109f1fa80d6744268c8653294b0c3de84cb73fd2ce503a0a5fcc3e8a5,,
Sat Nov 11 2017 21:51:43 GMT-0600 (Central Standard Time),deposit,,,,,,,20,LTC,f9ebb414cc6bdc94bf658375eecb8f942b9038bae83bcf70789a9a02b890d970,https://blockchair.com/litecoin/transaction/f9ebb414cc6bdc94bf658375eecb8f942b9038bae83bcf70789a9a02b890d970,,
Mon Nov 13 2017 16:25:51 GMT-0600 (Central Standard Time),deposit,,,,,,,0.58588,BTC,5426e5789af2daa7ea85513487f7c06a93fe8c5a70fe97de5bdd919f2093eccc,https://blockchair.com/bitcoin/transaction/5426e5789af2daa7ea85513487f7c06a93fe8c5a70fe97de5bdd919f2093eccc,,
Mon Nov 13 2017 18:02:34 GMT-0600 (Central Standard Time),deposit,,,,,,,55.998,LTC,2190c223f88547a54a1e1ebf60c2df53524657dbeac653f3ac3b5071ff385761,https://blockchair.com/litecoin/transaction/2190c223f88547a54a1e1ebf60c2df53524657dbeac653f3ac3b5071ff385761,,
Mon Nov 13 2017 19:10:07 GMT-0600 (Central Standard Time),exchange,-7.13388099,LTC,-0.002147,LTC,4453c7457275695983c69ece3e57811522f7ae6f7e50fa1e2de4ba8e783672f0,https://blockchair.com/litecoin/transaction/4453c7457275695983c69ece3e57811522f7ae6f7e50fa1e2de4ba8e783672f0,1,DASH,29238988bf0f9ed0dcad5ddfe58a38a2887673e701dd95105ef331e806ce1f75,https://blockchair.com/dash/transaction/29238988bf0f9ed0dcad5ddfe58a38a2887673e701dd95105ef331e806ce1f75,aed69fde-b136-40d8-862f-2b9117f2601a,
Mon Nov 13 2017 19:22:31 GMT-0600 (Central Standard Time),exchange,-4.09079604,LTC,-0.002147,LTC,90ece4873cfa5b20f46e57fc82fb7ea77c34ebfdb9fd2259f9468d75d7b2426a,https://blockchair.com/litecoin/transaction/90ece4873cfa5b20f46e57fc82fb7ea77c34ebfdb9fd2259f9468d75d7b2426a,3.89796101,GNO,0x8ec91d321c94d82c84b549c5a0085b48427a0328a56aaeb789347e69e4c8456b,https://etherscan.io/tx/0x8ec91d321c94d82c84b549c5a0085b48427a0328a56aaeb789347e69e4c8456b,0392830d-1b55-4fbd-bf44-259eccffeb71,
Wed Nov 15 2017 17:10:25 GMT-0600 (Central Standard Time),deposit,,,,,,,12.93462866,LTC,16cc97653f396588b738c7458f6a50e3434e2d9d918157b7afd6d2b2aa02ae09,https://blockchair.com/litecoin/transaction/16cc97653f396588b738c7458f6a50e3434e2d9d918157b7afd6d2b2aa02ae09,,
Fri Nov 17 2017 13:47:09 GMT-0600 (Central Standard Time),withdrawal,-52.57432922,LTC,-0.003553,LTC,fc20a07b8c2328619b156b33802d878d53281bb2717da7dfb20eca2e44f2f054,https://blockchair.com/litecoin/transaction/fc20a07b8c2328619b156b33802d878d53281bb2717da7dfb20eca2e44f2f054,,,,,,
Sat Nov 18 2017 20:58:27 GMT-0600 (Central Standard Time),withdrawal,-0.36475051,LTC,-0.002147,LTC,a718de43a32bbb9f86f8e7d22fdc32b475c5453876fba5b1cf9465623dec53db,https://blockchair.com/litecoin/transaction/a718de43a32bbb9f86f8e7d22fdc32b475c5453876fba5b1cf9465623dec53db,,,,,,
Wed Nov 29 2017 20:41:08 GMT-0600 (Central Standard Time),exchange,-3.89796101,GNO,-0.00072946,ETH,0xadf300063bfa8397221ccc1ce5995ce708f3e62031170f7810fb40fca5ebccfc,https://etherscan.io/tx/0xadf300063bfa8397221ccc1ce5995ce708f3e62031170f7810fb40fca5ebccfc,4.30178315,LTC,818f0f914df0aba09befa88f890d264841340a89d835c73054804fae48dddd0e,https://blockchair.com/litecoin/transaction/818f0f914df0aba09befa88f890d264841340a89d835c73054804fae48dddd0e,b2c88e15-5038-4960-abee-af818b5ddcbc,
Wed Nov 29 2017 20:45:10 GMT-0600 (Central Standard Time),withdrawal,-4.855659977230618,ETH,-0.0004158,ETH,0xa8ba8cee027b4993f58c401c9373199e92acbe0679ff4aaf62ae2c56d2386c87,https://etherscan.io/tx/0xa8ba8cee027b4993f58c401c9373199e92acbe0679ff4aaf62ae2c56d2386c87,,,,,,
Wed Dec 13 2017 09:57:20 GMT-0600 (Central Standard Time),withdrawal,-0.5,ETH,-0.000525,ETH,0x8fb50aae0c6c620f0e3eb8e111dcb8cc452f033520128a6c0f2599413606feea,https://etherscan.io/tx/0x8fb50aae0c6c620f0e3eb8e111dcb8cc452f033520128a6c0f2599413606feea,,,,,,
Fri Dec 15 2017 16:17:32 GMT-0600 (Central Standard Time),withdrawal,-0.85977296,BCH,-0.0000113,BCH,4be8dc9541817c98a2a9bfe1f919d13abc55666a13adb7630f63e1b3ce314657,https://blockchair.com/bitcoin-cash/transaction/4be8dc9541817c98a2a9bfe1f919d13abc55666a13adb7630f63e1b3ce314657,,,,,,
Sun Dec 17 2017 19:42:04 GMT-0600 (Central Standard Time),exchange,-0.39226945,BCH,-0.0000113,BCH,ce07deca19b6efc80f3b288ba7c1255b7738764c17934b757ef545bd70a6df44,https://blockchair.com/bitcoin-cash/transaction/ce07deca19b6efc80f3b288ba7c1255b7738764c17934b757ef545bd70a6df44,0.03596211,BTC,bc84b28cbe2aee2b2ecafbc4533594b306f05085cb69927a40c54ceab07aca51,https://blockchair.com/bitcoin/transaction/bc84b28cbe2aee2b2ecafbc4533594b306f05085cb69927a40c54ceab07aca51,f7c749b7-51e8-45ec-b11f-439f587cd747,
Tue Mar 06 2018 23:40:11 GMT-0600 (Central Standard Time),deposit,,,,,,,0.01507816,BTC,e4e8a85e7d153db6f6a0690b335b706bb607c229d22c810ecdd8d7e2458af93e,https://blockchair.com/bitcoin/transaction/e4e8a85e7d153db6f6a0690b335b706bb607c229d22c810ecdd8d7e2458af93e,,
Tue Mar 06 2018 23:40:19 GMT-0600 (Central Standard Time),deposit,,,,,,,0.01154218,DASH,76de4220fb95020ddb90cc3dab163765d0a192b20f3c729499550b248b2a7782,https://blockchair.com/dash/transaction/76de4220fb95020ddb90cc3dab163765d0a192b20f3c729499550b248b2a7782,,
Tue Mar 06 2018 23:40:24 GMT-0600 (Central Standard Time),deposit,,,,,,,0.08496734,LTC,81362990e5baee5d772a00575bf465a9455c8a5e44e7d9c53c866daadf33e3bc,https://blockchair.com/litecoin/transaction/81362990e5baee5d772a00575bf465a9455c8a5e44e7d9c53c866daadf33e3bc,,
Tue Apr 10 2018 08:57:31 GMT-0500 (Central Daylight Time),withdrawal,-1,ETH,-0.000084,ETH,0xfda399053b57a675fa5c3e565cccccff674d7f1917753e57eb0c98e729559914,https://etherscan.io/tx/0xfda399053b57a675fa5c3e565cccccff674d7f1917753e57eb0c98e729559914,,,,,,
Tue Apr 10 2018 08:57:48 GMT-0500 (Central Daylight Time),withdrawal,-5,LTC,-0.003553,LTC,c68700e77ec1b5337aa2b764bdb6eff268ee26ebd19ca17f040fb7916cd77b9e,https://blockchair.com/litecoin/transaction/c68700e77ec1b5337aa2b764bdb6eff268ee26ebd19ca17f040fb7916cd77b9e,,,,,,
Sat May 05 2018 11:25:13 GMT-0500 (Central Daylight Time),deposit,,,,,,,71,TRX,0x1b4452384035e83940658603738840ee8b3abf9a7239ac60e9a10e771ec7534f,https://etherscan.io/tx/0x1b4452384035e83940658603738840ee8b3abf9a7239ac60e9a10e771ec7534f,,
